Source,Target,Weight
24,44814,3337.894
24,46614,3338.255
24,46615,4688.309
24,46616,4696.324
24,46617,4734.826
24,46618,4793.286
24,46619,4865.015
24,46620,4915.623
24,44738,2225.503
24,44739,3623.958
24,44740,3472.601
24,44741,3368.659
24,44742,3303.474
24,44743,3265.908
24,44744,3249.485
25,1786,3230.993
25,1787,4856.925
25,1788,5043.298
25,1789,5242.108
25,1790,5116.891
25,1791,5023.368
25,1792,4942.653
25,127,2435.827
25,128,3672.787
25,129,3400.494
25,130,3185.017
25,131,3012.31
25,132,2872.641
25,133,2748.008
25,1933,3230.993
25,1934,5064.765
25,1935,5312.492
25,1936,5560.888
25,1937,5656.225
25,1938,5611.936
25,1939,5593.994
25,46467,3230.993
25,46468,4523.198
25,46469,4578.164
25,46470,4646.762
25,46471,4748.26
25,46472,4874.858
25,46473,5021.02
25,44808,2435.827
25,44809,3579.311
25,44810,3428.33
25,44811,3328.559
25,44812,3268.064
25,44813,3261.397
25,44814,3322.033
25,46614,3230.993
25,46615,4529.054
25,46616,4565.936
25,46617,4627.462
25,46618,4704.662
25,46619,4791.868
25,46620,4855.475
25,44738,2435.827
25,44739,3581.771
25,44740,3432.066
25,44741,3329.229
25,44742,3264.74
25,44743,3227.556
25,44744,3211.266
26,1786,3152.146
26,1787,4666.444
26,1788,4868.285
26,1789,5078.432
26,1790,5284.302
26,1791,5181.108
26,1792,5090.979
26,127,2639.006
26,128,3668.887
26,129,3396.917
26,130,3181.697
26,131,3009.198
26,132,2869.7
26,133,2745.208
26,1933,3152.146
26,1934,4943.089
26,1935,5211.55
26,1936,5476.845
26,1937,5764.074
26,1938,5899.503
26,1939,5874.423
26,46467,3152.146
26,46468,4247.433
26,46469,4330.066
26,46470,4420.215
26,46471,4538.329
26,46472,4677.957
26,46473,4834.462
26,44808,2639.006
26,44809,3561.571
26,44810,3411.349
26,44811,3312.102
26,44812,3251.956
26,44813,3245.501
26,44814,3306.242
26,46614,3152.146
26,46615,4346.365
26,46616,4414.488
26,46617,4500.963
26,46618,4598.507
26,46619,4702.555
26,46620,4780.45
26,44738,2639.006
26,44739,3539.504
26,44740,3391.453
26,44741,3289.724
26,44742,3225.932
26,44743,3189.13
26,44744,3172.973
27,1786,3101.777
27,1787,4491.797
27,1788,4710.992
27,1789,4934.317
27,1790,5150.235
27,1791,5368.619
27,1792,5268.244
27,127,2841.194
27,128,3673.112
27,129,3400.793
27,130,3185.294
27,131,3012.57
27,132,2872.887
27,133,2748.242
27,1933,3101.777
27,1934,4797.67
27,1935,5087.79
27,1936,5370.754
27,1937,5672.419
27,1938,5983.211
27,1939,6154.172
27,46467,3101.777
27,46468,3987.058
27,46469,4099.04
27,46470,4212.383
27,46471,4348.623
27,46472,4502.711
27,46473,4670.94
27,44808,2841.194
27,44809,3548.99
27,44810,3399.307
27,44811,3300.431
27,44812,3240.532
27,44813,3234.228
27,44814,3295.044
27,46614,3101.777
27,46615,4139.65
27,46616,4241.311
27,46617,4354.587
27,46618,4474.01
27,46619,4596.199
27,46620,4689.605
27,44738,2841.194
27,44739,3509.191
27,44740,3362.327
27,44741,3261.392
27,44742,3198.101
27,44743,3161.572
27,44744,3145.512
28,1786,3077.42
28,1787,4285.774
28,1788,4522.008
28,1789,4758.092
28,1790,4983.583
28,1791,5208.99
28,1792,5419.85
28,127,3046.335
28,128,3679.983
28,129,3407.096
28,130,3191.145
28,131,3018.054
28,132,2939.993
28,133,2954.138
28,1933,3077.42
28,1934,4634.052
28,1935,4946.824
28,1936,5248.325
28,1937,5565.116
28,1938,5888.508
28,1939,6218.426
28,46467,3077.42
28,46468,3776.597
28,46469,3921.726
28,46470,4061.929
28,46471,4219.759
28,46472,4391.64
28,46473,4574.835
28,44808,3046.335
28,44809,3548.755
28,44810,3399.082
28,44811,3300.213
28,44812,3240.318
28,44813,3234.017
28,44814,3294.834
28,46614,3077.42
28,46615,3911.142
28,46616,4048.637
28,46617,4190.575
28,46618,4333.432
28,46619,4475.09
28,46620,4585.264
28,44738,3046.335
28,44739,3489.896
28,44740,3343.786
28,44741,3243.357
28,44742,3180.384
28,44743,3144.03
28,44744,3128.031
29,1786,Inf
29,1787,3636.203
29,1788,3497.855
29,1789,3405.599
29,1790,3343.351
29,1791,3308.347
29,1792,3288.927
29,127,Inf
29,128,3408.49
29,129,3173.703
29,130,2987.993
29,131,2840.804
29,132,2725.699
29,133,2629.842
29,1933,Inf
29,1934,3694.268
29,1935,3574.286
29,1936,3491.523
29,1937,3449.056
29,1938,3434.547
29,1939,3442.454
29,46467,Inf
29,46468,4080.805
29,46469,3805.174
29,46470,3589.765
29,46471,3432.913
29,46472,3319.291
29,46473,3238.459
29,44808,Inf
29,44809,3328.333
29,44810,3241.104
29,44811,3187.39
29,44812,3175.139
29,44813,3278.935
29,44814,3407.724
29,46614,Inf
29,46615,3922.223
29,46616,3643.552
29,46617,3430.722
29,46618,3265.122
29,46619,3134.628
29,46620,3015.669
29,44738,Inf
29,44739,3330.887
29,44740,3228.454
29,44741,3160.111
29,44742,3123.473
